Document Title,Authors,Publication Title,Publication Year,Volume,Issue,Start Page,End Page,ISBNs,DOI,Author Keywords,Publisher
On the Implementation of Behavior Trees in Robotics,M. Colledanchise; L. Natale,IEEE Robotics and Automation Letters,2021,6,3,5929,5936,,10.1109/LRA.2021.3087442,Behavior-based systems;control architectures and programming;task planning,IEEE
PrOS: Light-Weight Privatized Se cure OSes in ARM TrustZone,D. Kwon; J. Seo; Y. Cho; B. Lee; Y. Paek,IEEE Transactions on Mobile Computing,2020,19,6,1434,1447,,10.1109/TMC.2019.2910861,Security;trustzone;virtualization,IEEE
Task Duplication-Based Scheduling Algorithm for Budget-Constrained Workflows in Cloud Computing,F. Yao; C. Pu; Z. Zhang,IEEE Access,2021,9,,37262,37272,,10.1109/ACCESS.2021.3063456,Cloud computing;task duplication;workflow scheduling;resource provision;heuristic mechanism,IEEE
Optimised Traffic Light Management Through Reinforcement Learning: Traffic State Agnostic Agent vs. Holistic Agent With Current V2I Traffic State Knowledge,J. V. S. Busch; V. Latzko; M. Reisslein; F. H. P. Fitzek,IEEE Open Journal of Intelligent Transportation Systems,2020,1,,201,216,,10.1109/OJITS.2020.3027518,Deep reinforcement learning (DRL);intelligent transportation system (ITS);intersection control;vehicle-to-infrastructure communication (V2I),IEEE
“Pencil Beamforming Increases Human Exposure to ElectroMagnetic Fields”: True or False?,L. Chiaraviglio; S. Rossetti; S. Saida; S. Bartoletti; N. Blefari-Melazzi,IEEE Access,2021,9,,25158,25171,,10.1109/ACCESS.2021.3057237,5G cellular networks;5G localization service;pencil beam management;EMF analysis;throughput analysis,IEEE
Analysis of Threading Libraries for High Performance Computing,A. Castelló; R. M. Gual; S. Seo; P. Balaji; E. S. Quintana-Ortí; A. J. Peña,IEEE Transactions on Computers,2020,69,9,1279,1292,,10.1109/TC.2020.2970706,Lightweight threads;OpenMP;GLT;POSIX threads;programming models,IEEE
Super-Mode OFDM With Index Modulation,A. T. Dogukan; E. Basar,IEEE Transactions on Wireless Communications,2020,19,11,7353,7362,,10.1109/TWC.2020.3010839,5G;index modulation (IM);subcarrier activation pattern (SAP);mode activation pattern (MAP);diversity gain;log-likelihood ratio (LLR),IEEE
Hybrid Constellations for Dual-Polarized Wireless Communications,X. Wu; T. G. Pratt; T. E. Fuja,IEEE Transactions on Wireless Communications,2020,19,8,5321,5332,,10.1109/TWC.2020.2991991,Dual-polarized signaling;polarization-based signaling;hybrid constellation;polarization shift keying;symbol error rate;constraint capacity,IEEE
Minimizing Wireless Delay with a High-Throughput Side Channel,R. Chen; H. Lu; W. Gao,IEEE Transactions on Mobile Computing,2020,19,7,1634,1648,,10.1109/TMC.2019.2914048,Wireless networks;wireless side channel;real-time wireless traffic,IEEE
Experimental Assessments of SDN-Enabled Optical Polling Flow Control for Contention Resolution in Optical DCNs,X. Xue; F. Wang; S. Chen; F. Yan; B. Pan; K. Prifti; X. Guo; S. Zhang; C. Xie; N. Calabretta,Journal of Lightwave Technology,2021,39,9,2652,2660,,10.1109/JLT.2020.3042820,Optical switching;software-defined networking;packet contention;optical data center,IEEE
A 0.7–5.7 GHz Reconfigurable MIMO Receiver Architecture for Analog Spatial Notch Filtering Using Orthogonal Beamforming,S. Golabighezelahmad; E. A. M. Klumperink; B. Nauta,IEEE Journal of Solid-State Circuits,2021,56,5,1527,1540,,10.1109/JSSC.2020.3028811,Analog beamforming;interference rejection;multiple-input multiple-output (MIMO);receiver;software-defined radio;spatial filtering;vector modulator (VM),IEEE
WiFED Mobile: WiFi Friendly Energy Delivery With Mobile Distributed Beamforming,S. Mohanti; E. Bozkaya; M. Y. Naderi; B. Canberk; G. Secinti; K. R. Chowdhury,IEEE/ACM Transactions on Networking,2021,29,3,1362,1375,,10.1109/TNET.2021.3061082,Wireless energy transfer;distributed beamforming;software defined radio;resource allocation;quality of service,IEEE
Stealthy Sensor Attack Detection and Real-Time Performance Recovery for Resilient CPS,S. Kim; Y. Eun; K. -J. Park,IEEE Transactions on Industrial Informatics,2021,17,11,7412,7422,,10.1109/TII.2021.3052182,Cyber-physical systems (CPSs);real-time attack detection;resilience;software-defined networking (SDN),IEEE
SURFER: A Secure SDN-Based Routing Protocol for Internet of Vehicles,K. Mershad,IEEE Internet of Things Journal,2021,8,9,7407,7422,,10.1109/JIOT.2020.3038465,Blockchain;carry-and-forward;geographic forwarding;Internet of Vehicles (IoV);roadside units (RSUs);ROAMER;routing protocol;software-defined networking (SDN),IEEE
Softwarized Industrial Deterministic Networking Based on Unmanned Aerial Vehicles,Y. Guan; L. Zhao; J. Hu; N. Lin; M. F. Alhamid,IEEE Transactions on Industrial Informatics,2021,17,8,5635,5644,,10.1109/TII.2020.3032606,Cyber–physical system (CPS);deterministic transmission;global topology view;multipath transmission;software-defined networking (SDN);unmanned aerial vehicle (UAV),IEEE
Uncertainty Quantification of CMOS Active Filter Circuits: A Non-Intrusive Computational Approach Based on Generalized Polynomial Chaos,M. E. Duman; O. Suvak,IEEE Access,2020,8,,189246,189261,,10.1109/ACCESS.2020.3031215,Active CMOS filter;generalized polynomial chaos;magnitude response;Monte Carlo methods;stochastic collocation;stokhos;software interface;toolbox;uncertainty quantification,IEEE
Skyline Queries Computation on Crowdsourced- Enabled Incomplete Database,M. B. Swidan; A. A. Alwan; S. Turaev; H. Ibrahim; A. Z. Abualkishik; Y. Gulzar,IEEE Access,2020,8,,106660,106689,,10.1109/ACCESS.2020.3000664,Incomplete data;crowdsourcing databases;approximate functional dependencies;query processing;skylines;skyline queries,IEEE
Semi-Supervised Multi-View Deep Discriminant Representation Learning,X. Jia; X. -Y. Jing; X. Zhu; S. Chen; B. Du; Z. Cai; Z. He; D. Yue,IEEE Transactions on Pattern Analysis and Machine Intelligence,2021,43,7,2496,2509,,10.1109/TPAMI.2020.2973634,Semi-supervised multi-view deep representation learning;consensus and complementarity;redundancy;adversarial training;Siamese network;density clustering,IEEE
Nature-Inspired Compressed Sensing for Transcriptomic Profiling From Random Composite Measurements,S. Zhang; X. Li; Q. Lin; K. -C. Wong,IEEE Transactions on Cybernetics,2021,51,9,4476,4487,,10.1109/TCYB.2019.2951402,Compressed sensing;differential evolution (DE);random composite measurements;transcriptomic profiling,IEEE
Process Variation Aware Read Performance Improvement for LDPC-Based <sc>nand</sc> Flash Memory,Q. Li; L. Shi; Y. Di; C. Gao; C. Ji; Y. Liang; C. J. Xue,IEEE Transactions on Reliability,2020,69,1,310,321,,10.1109/TR.2019.2893287,Low-density parity-check (LDPC) codes;nand flash memory;process variation (PV);read performance,IEEE
Progressive Modality Cooperation for Multi-Modality Domain Adaptation,W. Zhang; D. Xu; J. Zhang; W. Ouyang,IEEE Transactions on Image Processing,2021,30,,3293,3306,,10.1109/TIP.2021.3052083,Domain adaptation;transfer learning;multi-modality learning;deep learning;adversarial learning;self-paced learning;learning using privileged information (LUPI),IEEE
Pre-Silicon FEC Decoding Verification on SoC FPGAs,V. Fernández; C. Abad; Á. Álvarez; Í. Ugarte; P. Sánchez,IEEE Communications Letters,2021,25,1,127,131,,10.1109/LCOMM.2020.3025223,Verification;platform FPGAs;prototyping;emulation;BER/CER testing,IEEE
"Weird Machines, Exploitability, and Provable Unexploitability",T. Dullien,IEEE Transactions on Emerging Topics in Computing,2020,8,2,391,403,,10.1109/TETC.2017.2785299,Computer security;computer hacking;computation theory;information security;language-theoretic security,IEEE
Multi-Objective Application-Driven Approximate Design Method,S. Barone; M. Traiola; M. Barbareschi; A. Bosio,IEEE Access,2021,9,,86975,86993,,10.1109/ACCESS.2021.3087858,Approximate computing;evolutionary algorithm;design space exploration;code mutation,IEEE
Why are My Flows Different? A Tutorial on Flow Exporters,G. Vormayr; J. Fabini; T. Zseby,IEEE Communications Surveys & Tutorials,2020,22,3,2064,2103,,10.1109/COMST.2020.2989695,Flow export;network monitoring;Internet measurements;IPFIX,IEEE
Vulnerabilities and Reliability of ReRAM Based PUFs and Memory Logic,T. Schultz; R. Jha; M. Casto; B. Dupaix,IEEE Transactions on Reliability,2020,69,2,690,698,,10.1109/TR.2019.2910793,Bit-error rate (BER);challenge-response pairs (CRP);MgO;process???voltage???temperature (PVT);physically unclonable function (PUF);resistive random access memory (ReRAM);variability;vulnerability,IEEE
High-Performance Vision-Based Navigation on SoC FPGA for Spacecraft Proximity Operations,G. Lentaris; I. Stratakos; I. Stamoulias; D. Soudris; M. Lourakis; X. Zabulis,IEEE Transactions on Circuits and Systems for Video Technology,2020,30,4,1188,1202,,10.1109/TCSVT.2019.2900802,FPGA;space avionics;active debris removal;computer vision;pose estimation;tracking;HW/SW co-design,IEEE
Rethinking the Weakness of Stream Ciphers and Its Application to Encrypted Malware Detection,W. Stone; D. Kim; V. Y. Kemmoe; M. Kang; J. Son,IEEE Access,2020,8,,191602,191616,,10.1109/ACCESS.2020.3030559,Encryption;Intrusion Detection;malware;network security;stream ciphers,IEEE
A Printed Camouflaged Cell Against Reverse Engineering of Printed Electronics Circuits,A. T. Erozan; D. D. Weller; Y. Feng; G. C. Marques; J. Aghassi-Hagmann; M. B. Tahoori,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,2020,28,11,2448,2458,,10.1109/TVLSI.2020.3022776,Additive manufacturing;camouflaging;electrolyte-gated transistors (EGTs);emerging technologies for computing;fabrication;inkjet-printing;Internet of Things (IoT);low cost;printed electronics (PE);reverse engineering (RE),IEEE
Detection of Encrypted Cryptomining Malware Connections With Machine and Deep Learning,A. Pastor; A. Mozo; S. Vakaruk; D. Canavese; D. R. López; L. Regano; S. Gómez-Canaval; A. Lioy,IEEE Access,2020,8,,158036,158055,,10.1109/ACCESS.2020.3019658,Cryptomining detection;malware detection;cryptojacking detection;cryptocurrency mining;netflow measurements;encrypted traffic classification;machine learning;deep learning,IEEE
A Context-Aware Framework for Detecting Sensor-Based Threats on Smart Devices,A. K. Sikder; H. Aksu; A. S. Uluagac,IEEE Transactions on Mobile Computing,2020,19,2,245,261,,10.1109/TMC.2019.2893253,Sensor-based threats;smart devices;Internet of Things;machine learning;intrusion detection,IEEE
DCAP: A Secure and Efficient Decentralized Conditional Anonymous Payment System Based on Blockchain,C. Lin; D. He; X. Huang; M. K. Khan; K. R. Choo,IEEE Transactions on Information Forensics and Security,2020,15,,2440,2452,,10.1109/TIFS.2020.2969565,Decentralized conditional anonymous payment;blockchain;cryptocurrency;smart contract;anonymity;privacy;regulation,IEEE
Monitoring Enterprise DNS Queries for Detecting Data Exfiltration From Internal Hosts,J. Ahmed; H. Habibi Gharakheili; Q. Raza; C. Russell; V. Sivaraman,IEEE Transactions on Network and Service Management,2020,17,1,265,279,,10.1109/TNSM.2019.2940735,DNS;enterprise;exfiltration;anomaly detection,IEEE
A Survey on Machine Learning Techniques for Cyber Security in the Last Decade,K. Shaukat; S. Luo; V. Varadharajan; I. A. Hameed; M. Xu,IEEE Access,2020,8,,222310,222354,,10.1109/ACCESS.2020.3041951,Cyber security;deep learning;intrusion detection;malware;machine learning;spam,IEEE
Deep Learning-Based DDoS-Attack Detection for Cyber–Physical System Over 5G Network,B. Hussain; Q. Du; B. Sun; Z. Han,IEEE Transactions on Industrial Informatics,2021,17,2,860,870,,10.1109/TII.2020.2974520,5G;artificial intelligence (AI);call detail record (CDR);convolutional neural networks (CNNs);cyber–physical system (CPS);cybersecurity;DDoS attack;deep learning (DL),IEEE
Accelerated Two-Stage Particle Swarm Optimization for Clustering Not-Well-Separated Data,X. Xu; J. Li; M. Zhou; J. Xu; J. Cao,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2020,50,11,4212,4223,,10.1109/TSMC.2018.2839618,Clustering;intracluster cohesion (ICC);particle swarm optimization (PSO);two-stage strategy,IEEE
Throughput-Aware Partitioning and Placement of Applications in Fog Computing,F. Faticanti; F. De Pellegrini; D. Siracusa; D. Santoro; S. Cretti,IEEE Transactions on Network and Service Management,2020,17,4,2436,2450,,10.1109/TNSM.2020.3023011,Fog computing;IoT;applications partitioning;resource allocation;microservices,IEEE
"Low-Resource Footprint, Data-Driven Malware Detection on Android",S. Aonzo; A. Merlo; M. Migliardi; L. Oneto; F. Palmieri,IEEE Transactions on Sustainable Computing,2020,5,2,213,222,,10.1109/TSUSC.2017.2774184,Android security;malware analysis;supervised learning;data-driven models;model selection;feature ranking,IEEE
Revealing Your Mobile Password via WiFi Signals: Attacks and Countermeasures,Y. Meng; J. Li; H. Zhu; X. Liang; Y. Liu; N. Ruan,IEEE Transactions on Mobile Computing,2020,19,2,432,449,,10.1109/TMC.2019.2893338,Channel state information;online payment;password inference;traffic analysis;wireless security,IEEE
Blockchain-Based Solution for the Traceability of Spare Parts in Manufacturing,H. R. Hasan; K. Salah; R. Jayaraman; R. W. Ahmad; I. Yaqoob; M. Omar,IEEE Access,2020,8,,100308,100322,,10.1109/ACCESS.2020.2998159,Spare parts;blockchain;smart contracts;data provenance;manufacturing;traceability,IEEE
Botnet Fingerprinting: A Frequency Distributions Scheme for Lightweight Bot Detection,A. Blaise; M. Bouet; V. Conan; S. Secci,IEEE Transactions on Network and Service Management,2020,17,3,1701,1714,,10.1109/TNSM.2020.2996502,Network security;data analysis;bot detection,IEEE
REAL: Reality-Enhanced Applied Games,F. Bellotti; R. Berta; P. Paranthaman; G. Dange; A. De Gloria,IEEE Transactions on Games,2020,12,3,281,290,,10.1109/TG.2019.2940108,Applied games;automotive;Internet of Things (IoT);pervasive games;RESTful API;serious games,IEEE
Cyber-Attacks on the Oil & Gas Sector: A Survey on Incident Assessment and Attack Patterns,G. Stergiopoulos; D. A. Gritzalis; E. Limnaios,IEEE Access,2020,8,,128440,128475,,10.1109/ACCESS.2020.3007960,Cybersecurity;cyberattack;oil and gas;critical infrastructure;refinery;operational technology;information technology;vulnerability;impact;risk;safety;survey,IEEE
Understanding the Evolution of Android App Vulnerabilities,J. Gao; L. Li; P. Kong; T. F. Bissyandé; J. Klein,IEEE Transactions on Reliability,2021,70,1,212,230,,10.1109/TR.2019.2956690,Android;vulnerability;evolution,IEEE
Trigger Identification Using Difference-Amplified Controllability and Dynamic Transition Probability for Hardware Trojan Detection,K. Huang; Y. He,IEEE Transactions on Information Forensics and Security,2020,15,,3387,3400,,10.1109/TIFS.2019.2946044,Hardware Trojan;static probability analysis;dynamic probability analysis;difference-amplified controllability;k-means clustering,IEEE
An Intelligent and Time-Efficient DDoS Identification Framework for Real-Time Enterprise Networks: SAD-F: Spark Based Anomaly Detection Framework,A. Ahmed; S. Hameed; M. Rafi; Q. K. A. Mirza,IEEE Access,2020,8,,219483,219502,,10.1109/ACCESS.2020.3042905,Anomaly detection;apache spark;big data analytics;DDoS;machine learning;malware;network security;security analytics,IEEE
"Stochastic Modeling, Analysis and Investigation of IoT-Generated Internet Scanning Activities",M. Safaei Pour; S. Torabi; E. Bou-Harb; C. Assi; M. Debbabi,IEEE Networking Letters,2020,2,3,159,163,,10.1109/LNET.2020.2998045,IoT botnets;IoT infections;stochastic analysis;Internet measurements;darknet,IEEE
Toward Programmable DOCSIS 4.0 Networks: Adaptive Modulation in OFDM Channels,J. Schnitzer; P. Prahladan; P. Rahimzadeh; C. Humble; J. Lee; J. Lee; K. Lee; S. Ha,IEEE Transactions on Network and Service Management,2021,18,1,441,455,,10.1109/TNSM.2020.3044850,DOCSIS;network virtualization;cable network;adaptive modulation;network optimization;softwarized networks,IEEE
A Bayesian Game Theoretic Approach for Inspecting Web-Based Malvertising,C. -T. Huang; M. N. Sakib; C. A. Kamhoua; K. A. Kwiat; L. Njilla,IEEE Transactions on Dependable and Secure Computing,2020,17,6,1257,1268,,10.1109/TDSC.2018.2866821,Game theory;bayesian game;malvertising;malware detection evasion;inspection,IEEE
Cache-Out: Leaking Cache Memory Using Hardware Trojan,M. N. I. Khan; A. De; S. Ghosh,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,2020,28,6,1461,1470,,10.1109/TVLSI.2020.2982188,Cache;fault injection;GEM5;hardware Trojan;information leakage,IEEE
HPCCloud Seer: A Performance Model Based Predictor for Parallel Applications on the Cloud,A. Saad; A. El-Mahdy,IEEE Access,2020,8,,87978,87993,,10.1109/ACCESS.2020.2992880,Cloud computing;high performance computing;message passing interface;performance modeling,IEEE
Semantics-Aware Privacy Risk Assessment Using Self-Learning Weight Assignment for Mobile Apps,J. Chen; C. Wang; K. He; Z. Zhao; M. Chen; R. Du; G. -J. Ahn,IEEE Transactions on Dependable and Secure Computing,2021,18,1,15,29,,10.1109/TDSC.2018.2871682,Android;semantics-aware;self-learning weight assignment;privacy risk assessment,IEEE
SpiderTrap—An Innovative Approach to Analyze Activity of Internet Bots on a Website,P. Lewandowski; M. Janiszewski; A. Felkner,IEEE Access,2020,8,,141292,141309,,10.1109/ACCESS.2020.3012969,Cyber threat intelligence;honeypot;HTTP;search engines;situational awareness;web crawlers;web search;web spiders,IEEE
Amnesiac DRAM: A Proactive Defense Mechanism Against Cold Boot Attacks,H. Seol; M. Kim; T. Kim; Y. Kim; L. -S. Kim,IEEE Transactions on Computers,2021,70,4,539,551,,10.1109/TC.2019.2946365,Cold boot attack;DRAM;hardware defense;self erasing memory,IEEE
Disaggregated edge-enabled C+L-band filterless metro networks,F. Paolucci; R. Emmerich; A. Eira; N. Costa; J. Pedro; P. W. Berenguer; C. Schubert; J. K. Fischer; F. Fresi; A. Sgambelluri; F. Cugini,IEEE/OSA Journal of Optical Communications and Networking,2020,12,3,2,12,,10.1364/JOCN.12.000002,,IEEE
On the Use of Glint-Doppler-Azimuth Correlation for Speed Estimation of Nearby Tangential Targets,A. Asensio López; J. Muñoz Dekamp; Á. Duque de Quevedo; F. Ibañez Urzaiz; J. Gismero Menoyo,IEEE Transactions on Intelligent Transportation Systems,2020,21,11,4912,4918,,10.1109/TITS.2019.2950522,Coherent radar;digital array receiver (DAR);frequency-modulated continuous wave (FMCW);intelligent transportation system (ITS);microwave radar sensor;speed measurement;traffic flow;vehicle classification;vehicle detection,IEEE
Impact of Backward Crosstalk in 2 × 2 MIMO Transmitters on NMSE and Spectral Efficiency,P. Händel; Ö. T. Demir; E. Björnson; D. Rönnow,IEEE Transactions on Communications,2020,68,7,4277,4292,,10.1109/TCOMM.2020.2988927,Orthogonal frequency-division multiplexing (OFDM);input back-off;power amplifier;transmitter hardware imperfections;spectral efficiency,IEEE
Energy and Task-Aware Partitioning on Single-ISA Clustered Heterogeneous Processors,A. Suyyagh; Z. Zilic,IEEE Transactions on Parallel and Distributed Systems,2020,31,2,306,317,,10.1109/TPDS.2019.2937029,Energy-aware scheduling;task partitioning;real-time systems;heterogeneous multicores;ARM big.LITTLE,IEEE
A Probabilistic Model for User Interest Propagation in Recommender Systems,S. Mensah; C. Hu; X. Li; X. Liu; R. Zhang,IEEE Access,2020,8,,108300,108309,,10.1109/ACCESS.2020.3001210,Propagation;recommender system;sum-product algorithm;user interest modeling,IEEE
Attention Enhancing Technology: A New Dimension in the Design of Effective Wellbeing Apps,L. Wiederkehr; J. Pitt; T. Dannhauser; K. Bruzda,IEEE Transactions on Technology and Society,2021,2,3,157,166,,10.1109/TTS.2021.3070221,Application software;behavioral science;human computer interaction;occupational health,IEEE
Islanding Detection of Distributed Generation Using Electrical Variables in Space Vector Domain,M. R. Alam; M. T. A. Begum; B. Mather,IEEE Transactions on Power Delivery,2020,35,2,861,870,,10.1109/TPWRD.2019.2929784,Islanding detection;power imbalance;space vector;software-in-the-loop simulation;F-measure,IEEE
An Adaptive Fuzzy Symbiotic Organisms Search Algorithm and Its Applications,N. A. Zainal; S. Azad; K. Z. Zamli,IEEE Access,2020,8,,225384,225406,,10.1109/ACCESS.2020.3042196,Search-based software engineering;symbiotic organisms search;computational intelligence,IEEE
BottleNet: Hiding Network Bottlenecks Using SDN-Based Topology Deception,J. Kim; J. Nam; S. Lee; V. Yegneswaran; P. Porras; S. Shin,IEEE Transactions on Information Forensics and Security,2021,16,,3138,3153,,10.1109/TIFS.2021.3075845,Link flooding attacks (LFAs);topology deception;network robustness;software-defined networking (SDN),IEEE
P5: Portable Progressive Parallel Processing Pipelines for Interactive Data Analysis and Visualization,J. K. Li; K. -L. Ma,IEEE Transactions on Visualization and Computer Graphics,2020,26,1,1151,1160,,10.1109/TVCG.2019.2934537,Information visualization;progressive analytics;visualization software;GPU computing;data exploration,IEEE
Ergodic Spectrum Management,J. M. Cioffi; C. Hwang; K. J. Kerpez,IEEE Transactions on Communications,2020,68,3,1794,1821,,10.1109/TCOMM.2019.2958321,Wireless LAN;5G mobile communication;software radio management;modulation multiplexing,IEEE
HS-Pilot: Heap Security Evaluation Tool Model Based on Atomic Heap Interaction,S. Chae; H. Jin; M. C. Park; D. H. Lee,IEEE Access,2020,8,,201914,201924,,10.1109/ACCESS.2020.3036118,Computer security;memory defenses;software testing,IEEE
R-EDoS: Robust Economic Denial of Sustainability Detection in an SDN-Based Cloud Through Stochastic Recurrent Neural Network,P. T. Dinh; M. Park,IEEE Access,2021,9,,35057,35074,,10.1109/ACCESS.2021.3061601,Economic denial of sustainability;software-defined networking;deep learning;cloud computing;network function virtualization;service function chaining,IEEE
A 0.75–2.5-GHz All-Digital RF Transmitter With Integrated Class-E Power Amplifier for Spectrum Sharing Applications in 5G Radios,I. Raja; G. Banerjee,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,2020,28,10,2109,2121,,10.1109/TVLSI.2020.3005438,Class-E power amplifier (PA);cognitive radio (CR) transmitter;digital filtering;duty cycle correction;fifth generation (5G) spectrum sharing (SS);frequency reconfigurable Class-E PA;on-chip tunable network;PAs;quadrature correction;reconfigurable TX;software-defined radio (SDR)/CR;SDR transmitter;wideband transmitter,IEEE
Approximate Packet Classifiers With Controlled Accuracy,V. Demianiuk; K. Kogan; S. Nikolenko,IEEE/ACM Transactions on Networking,2021,29,3,1141,1154,,10.1109/TNET.2021.3056948,Software defined networking;quality of service,IEEE
CleanG—Improving the Architecture and Protocols for Future Cellular Networks With NFV,A. Mohammadkhan; K. K. Ramakrishnan; V. A. Jain,IEEE/ACM Transactions on Networking,2020,28,6,2559,2572,,10.1109/TNET.2020.3015946,Cellular networks;network protocols;network architecture;network function virtualization;software defined networking,IEEE
"Accelerating Robot Dynamics Gradients on a CPU, GPU, and FPGA",B. Plancher; S. M. Neuman; T. Bourgeat; S. Kuindersma; S. Devadas; V. J. Reddi,IEEE Robotics and Automation Letters,2021,6,2,2335,2342,,10.1109/LRA.2021.3057845,Computer architecture for robotics and automation;hardware-software integration in robotics;dynamics,IEEE
Random CFI (RCFI): Efficient Fine-Grained Control-Flow Integrity Through Random Verification,M. C. Park; D. H. Lee,IEEE Transactions on Computers,2021,70,5,733,745,,10.1109/TC.2020.2995838,Control-data attack;control-flow hijacking;control-flow integrity (CFI),IEEE
OODT: Obstacle Aware Opportunistic Data Transmission for Cognitive Radio Ad Hoc Networks,X. Zhong; L. Li; Y. Zhang; B. Zhang; W. Zhang; T. Yang,IEEE Transactions on Communications,2020,68,6,3654,3666,,10.1109/TCOMM.2020.2979976,CRAHNs;opportunistic data transmission;obstacle,IEEE
Efficiently Processing Spatial and Keyword Queries in Indoor Venues,Z. Shao; M. A. Cheema; D. Taniar; H. Lu; S. Yang,IEEE Transactions on Knowledge and Data Engineering,2021,33,9,3229,3244,,10.1109/TKDE.2020.2964206,Indoor query processing;indoor index;spatial keyword query,IEEE
Self-Paced Clustering Ensemble,P. Zhou; L. Du; X. Liu; Y. -D. Shen; M. Fan; X. Li,IEEE Transactions on Neural Networks and Learning Systems,2021,32,4,1497,1511,,10.1109/TNNLS.2020.2984814,Clustering ensemble;consensus learning;self-paced learning,IEEE
Coverage-Oriented Task Assignment for Mobile Crowdsensing,S. Song; Z. Liu; Z. Li; T. Xing; D. Fang,IEEE Internet of Things Journal,2020,7,8,7407,7418,,10.1109/JIOT.2020.2984826,Mobile crowdsensing;preference;task assignment;task coverage,IEEE
Multi-Atlas Segmentation of Anatomical Brain Structures Using Hierarchical Hypergraph Learning,P. Dong; Y. Guo; Y. Gao; P. Liang; Y. Shi; G. Wu,IEEE Transactions on Neural Networks and Learning Systems,2020,31,8,3061,3072,,10.1109/TNNLS.2019.2935184,Brainstem nuclei;context features;hippocampus;hypergraph learning;multi-atlas segmentation (MAS),IEEE
A Subspace Selection-Based Discriminative Forest Method for Hyperspectral Anomaly Detection,S. Chang; B. Du; L. Zhang,IEEE Transactions on Geoscience and Remote Sensing,2020,58,6,4033,4046,,10.1109/TGRS.2019.2960391,Anomaly detection axis-parallel subspace;dimensionality reduction;hyperspectral imagery;isolation-based forest,IEEE
Penalty Dual Decomposition Method for Nonsmooth Nonconvex Optimization—Part II: Applications,Q. Shi; M. Hong; X. Fu; T. -H. Chang,IEEE Transactions on Signal Processing,2020,68,,4242,4257,,10.1109/TSP.2020.3001397,Penalty dual decomposition;multicast beamforming;sum-rate maximization;matrix factorization,IEEE
Cost-Based Heterogeneous Learning Framework for Real-Time Spam Detection in Social Networks With Expert Decisions,J. Choi; C. Jeon,IEEE Access,2021,9,,103573,103587,,10.1109/ACCESS.2021.3098799,Expert decision making;machine learning;real-time spam detection;social network;Twitter spam,IEEE
Complementarity in Requirements Tracing,W. Wang; N. Niu; M. Alenazi; J. Savolainen; Z. Niu; J. C. Cheng; L. D. Xu,IEEE Transactions on Cybernetics,2020,50,4,1395,1404,,10.1109/TCYB.2018.2889830,Association analysis;complementarity;cybernetic enrichment;human–machine interactions;requirements tracing;traceability,IEEE
ABCDPlace: Accelerated Batch-Based Concurrent Detailed Placement on Multithreaded CPUs and GPUs,Y. Lin; W. Li; J. Gu; H. Ren; B. Khailany; D. Z. Pan,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2020,39,12,5083,5096,,10.1109/TCAD.2020.2971531,Graphic processing unit (GPU) acceleration;linear assignment problem (LAP);physical design;very-large-scale integrated (VLSI) placement,IEEE
UAV-Assisted Data Collection With Nonorthogonal Multiple Access,W. Chen; S. Zhao; R. Zhang; Y. Chen; L. Yang,IEEE Internet of Things Journal,2021,8,1,501,511,,10.1109/JIOT.2020.3005271,Data collection;hypergraph;nonorthogonal multiple access (NOMA);unmanned aerial vehicle (UAV),IEEE
Classification and Analysis of Android Malware Images Using Feature Fusion Technique,J. Singh; D. Thakur; T. Gera; B. Shah; T. Abuhmed; F. Ali,IEEE Access,2021,9,,90102,90117,,10.1109/ACCESS.2021.3090998,Handcrafted features;machine learning;malware;classification;visualization;android;security;feature fusion,IEEE
An Elastic Task Scheduling Scheme on Coarse-Grained Reconfigurable Architectures,L. Chen; J. Zhu; Y. Deng; Z. Li; J. Chen; X. Jiang; S. Yin; S. Wei; L. Liu,IEEE Transactions on Parallel and Distributed Systems,2021,32,12,3066,3080,,10.1109/TPDS.2021.3084804,Task schedule;elastic task schedule;reconfigurable architectures;dynamic issue;dynamic mapping,IEEE
An Attention-Based Unsupervised Adversarial Model for Movie Review Spam Detection,Y. Gao; M. Gong; Y. Xie; A. K. Qin,IEEE Transactions on Multimedia,2021,23,,784,796,,10.1109/TMM.2020.2990085,Movie reviews;spam detection;attention mechanism;generative adversarial networks (GANs),IEEE
Task Similarity Estimation Through Adversarial Multitask Neural Network,F. Zhou; C. Shui; M. Abbasi; L. -É. Robitaille; B. Wang; C. Gagné,IEEE Transactions on Neural Networks and Learning Systems,2021,32,2,466,480,,10.1109/TNNLS.2020.3028022,Adversarial learning;deep neural network;multitask learning (MTL);relation extraction,IEEE
Efficient Reconstruction Technique for Multi-Slice CS-MRI Using Novel Interpolation and 2D Sampling Scheme,M. Murad; M. Bilal; A. Jalil; A. Ali; K. Mehmood; B. Khan,IEEE Access,2020,8,,117452,117466,,10.1109/ACCESS.2020.3004731,Compressed sensing;compressed sensing reconstruction;interpolated compressed sensing;magnetic resonance imaging;multi-slice MRI;nonlinear conjugate gradient,IEEE
